metroreg,TIME_PERIOD,area,gdp,population,unemp,metroreg_d,iccs,Nr_Crimes,iccs_d
AT004M,2017,1738.0,54200.0,362042.0,5.8,Salzburg,ICCS050211,87,Theft of a motorized land vehicle
AT004M,2018,1738.0,55500.0,364797.0,5.2,Salzburg,ICCS0101,2,Intentional homicide
AT004M,2018,1738.0,55500.0,364797.0,5.2,Salzburg,ICCS0401,137,Robbery
AT004M,2018,1738.0,55500.0,364797.0,5.2,Salzburg,ICCS05012,565,Burglary of private residential premises
AT004M,2018,1738.0,55500.0,364797.0,5.2,Salzburg,ICCS050211,108,Theft of a motorized land vehicle
AT004M,2019,1738.0,57600.0,366866.0,4.5,Salzburg,ICCS0101,2,Intentional homicide
AT004M,2019,1738.0,57600.0,366866.0,4.5,Salzburg,ICCS0401,133,Robbery
AT004M,2019,1738.0,57600.0,366866.0,4.5,Salzburg,ICCS05012,334,Burglary of private residential premises
AT004M,2019,1738.0,57600.0,366866.0,4.5,Salzburg,ICCS050211,90,Theft of a motorized land vehicle
AT004M,2020,1738.0,55100.0,369337.0,5.3,Salzburg,ICCS0101,2,Intentional homicide
AT004M,2020,1738.0,55100.0,369337.0,5.3,Salzburg,ICCS0401,118,Robbery
AT004M,2020,1738.0,55100.0,369337.0,5.3,Salzburg,ICCS05012,253,Burglary of private residential premises
AT004M,2020,1738.0,55100.0,369337.0,5.3,Salzburg,ICCS050211,70,Theft of a motorized land vehicle
AT005M,2008,2094.2,38500.0,,,Innsbruck,ICCS0101,1,Intentional homicide
AT005M,2008,2094.2,38500.0,,,Innsbruck,ICCS0401,84,Robbery
AT005M,2008,2094.2,38500.0,,,Innsbruck,ICCS05012,383,Burglary of private residential premises
AT005M,2009,2094.2,37700.0,,,Innsbruck,ICCS0101,1,Intentional homicide
AT005M,2009,2094.2,37700.0,,,Innsbruck,ICCS0401,87,Robbery
AT005M,2009,2094.2,37700.0,,,Innsbruck,ICCS05012,358,Burglary of private residential premises
AT005M,2010,2094.2,38200.0,,,Innsbruck,ICCS0101,2,Intentional homicide
AT005M,2010,2094.2,38200.0,,,Innsbruck,ICCS0401,76,Robbery
AT005M,2010,2094.2,38200.0,,,Innsbruck,ICCS05012,196,Burglary of private residential premises
AT005M,2011,2094.2,39800.0,,,Innsbruck,ICCS0101,5,Intentional homicide
AT005M,2011,2094.2,39800.0,,,Innsbruck,ICCS0401,79,Robbery
AT005M,2011,2094.2,39800.0,,,Innsbruck,ICCS05012,259,Burglary of private residential premises
AT005M,2012,2094.0,40900.0,,,Innsbruck,ICCS0101,7,Intentional homicide
AT005M,2012,2094.0,40900.0,,,Innsbruck,ICCS0401,90,Robbery
AT005M,2012,2094.0,40900.0,,,Innsbruck,ICCS05012,260,Burglary of private residential premises
AT005M,2013,2095.0,41400.0,,,Innsbruck,ICCS0101,2,Intentional homicide
AT005M,2013,2095.0,41400.0,,,Innsbruck,ICCS0401,74,Robbery
AT005M,2013,2095.0,41400.0,,,Innsbruck,ICCS05012,210,Burglary of private residential premises
AT005M,2013,2095.0,41400.0,,,Innsbruck,ICCS050211,20,Theft of a motorized land vehicle
AT005M,2014,2095.0,41700.0,294259.0,,Innsbruck,ICCS0101,3,Intentional homicide
AT005M,2014,2095.0,41700.0,294259.0,,Innsbruck,ICCS0401,106,Robbery
AT005M,2014,2095.0,41700.0,294259.0,,Innsbruck,ICCS05012,259,Burglary of private residential premises
AT005M,2014,2095.0,41700.0,294259.0,,Innsbruck,ICCS050211,31,Theft of a motorized land vehicle
AT005M,2015,2095.0,42700.0,299006.0,,Innsbruck,ICCS0101,4,Intentional homicide
AT005M,2015,2095.0,42700.0,299006.0,,Innsbruck,ICCS0401,100,Robbery
AT005M,2015,2095.0,42700.0,299006.0,,Innsbruck,ICCS05012,378,Burglary of private residential premises
AT005M,2015,2095.0,42700.0,299006.0,,Innsbruck,ICCS050211,88,Theft of a motorized land vehicle
AT005M,2016,2095.0,43300.0,305226.0,,Innsbruck,ICCS0101,2,Intentional homicide
AT005M,2016,2095.0,43300.0,305226.0,,Innsbruck,ICCS0401,100,Robbery
AT005M,2016,2095.0,43300.0,305226.0,,Innsbruck,ICCS05012,190,Burglary of private residential premises
